Date,Precip_in,Tmax_degC,Tmin_degC,Flow_in
2001-04-01,0.011811024,5.6,-1.1,0.128187093
2001-04-02,0,1.1,-2.2,0.104844382
2001-04-03,0,4.4,-5,0.094953402
2001-04-04,0,8.3,-5.6,0.103657464
2001-04-05,0,11.1,-3.9,0.131747846
2001-04-06,0,13.3,-3.3,0.169333568
2001-04-07,0.251968504,10.6,0,0.244505011
2001-04-08,1.039370079,10,-0.6,0.739845261
2001-04-09,0.200787402,3.3,-0.6,0.704237735
2001-04-10,0.228346457,17.2,1.1,0.997010726
2001-04-11,0,16.1,-1.1,0.680499385
2001-04-12,0.251968504,12.8,-0.6,0.668630209
2001-04-13,0.12992126,7.8,1.1,0.767540004
2001-04-14,0,15,1.7,0.779409179
2001-04-15,0,13.3,-2.2,0.589502374
2001-04-16,0,13.9,-1.1,0.506418147
2001-04-17,0,13.3,-2.2,0.411464744
2001-04-18,0,12.2,-1.7,0.347766837
2001-04-19,0,9.4,-3.9,0.292377352
2001-04-20,0,8.9,-5,0.2595393
2001-04-21,0,18.3,-3.3,0.315720063
2001-04-22,0.011811024,19.4,5.6,0.39445226
2001-04-23,0,27.8,6.1,0.352910146
2001-04-24,0,27.2,7.8,0.2595393
2001-04-25,0,28.9,2.8,0.193071918
2001-04-26,0,13.3,-2.8,0.143617021
2001-04-27,0,16.7,-3.3,0.116317918
2001-04-28,0.011811024,19.4,-0.6,0.098514155
2001-04-29,0,12.8,-3.3,0.082292949
2001-04-30,0,16.1,-1.1,0.07200633
2001-05-01,0,23.3,1.7,0.064884825
2001-05-02,0,29.4,8.9,0.056972041
2001-05-03,0,30.6,11.7,0.050246175
2001-05-04,0,30,12.8,0.045894145
2001-05-05,0,29.4,10.6,0.042333392
2001-05-06,0,19.4,0.6,0.038377
2001-05-07,0,17.8,-5.6,0.035607526
2001-05-08,0,19.4,-3.9,0.03362933
2001-05-09,0,23.3,-0.6,0.032046773
2001-05-10,0,23.3,5,0.030464217
2001-05-11,0,25.6,9.4,0.028486021
2001-05-12,0,27.8,11.1,0.027299103
2001-05-13,0,27.8,7.2,0.024925268
2001-05-14,0,16.7,0.6,0.022551433
2001-05-15,0.011811024,18.3,5,0.021364516
2001-05-16,0.011811024,16.1,6.7,0.021364516
2001-05-17,0,13.3,5,0.020968876
2001-05-18,0,17.2,6.7,0.020573237
2001-05-19,0.011811024,12.2,7.8,0.020968876
2001-05-20,0,23.3,7.8,0.01938632
2001-05-21,0,21.1,6.1,0.017803763
2001-05-22,0.468503937,20,8.3,0.036003165
2001-05-23,0.850393701,12.8,10,0.109196413
2001-05-24,1.12992126,12.8,8.9,0.170124846
2001-05-25,0.539370079,13.3,6.7,0.151529805
2001-05-26,0.141732283,16.1,7.8,0.183972217
2001-05-27,0.960629921,14.4,9.4,0.454985054
2001-05-28,0.070866142,15.6,11.7,0.220371022
2001-05-29,0.051181102,19.4,6.7,0.1444083
2001-05-30,0,19.4,4.4,0.090997011
2001-05-31,0.011811024,13.3,2.2,0.066467382
2001-06-01,0,15,0,0.051433093
2001-06-02,0.830708661,21.1,2.8,0.388517672
2001-06-03,1.818897638,16.1,10,0.89414454
2001-06-04,0.448818898,18.3,8.9,0.415421136
2001-06-05,0,17.2,8.9,0.2211623
2001-06-06,0,21.1,10.6,0.142034465
2001-06-07,0,21.7,6.7,0.10088799
2001-06-08,0,23.9,6.7,0.077545279
2001-06-09,0,24.4,7.2,0.060137155
2001-06-10,0,24.4,8.9,0.049454897
